SeqID,CV
13066_42,4.0
13067_5,2.5
13068_139,23.0
13073_14,6.0
13076_4,7.5
13078_3,5.0
13082_9,5.5
13083_18,9.5
13085_18,2.5
13088_397,3.5
13089_6,5.0
13090_17,4.0
13093_6,4.5
13094_75,4.0
13095_51,8.0
13097_11,2.5
13098_93,5.5
13101_60,3.0
13102_1,4.0
13103_125,3.5
13104_32,3.5
13105_7,9.5
13107_9,5.0
13109_82,3.0
13111_79,3.0
13112_179,4.0
13113_7,3.0
13114_50,5.0
13116_25,4.5
13117_232,13.0
13118_5,3.5
13119_26,2.5
13122_19,5.0
13123_3,4.0
13124_20,4.5
13125_45,5.0
13126_52,5.0
13129_40,4.0
13130_150,5.5
13131_5,11.5
13132_14,5.5
13133_73,5.5
13228_75,7.5
13229_20,6.5
13230_174,5.0
13231_90,2.5
13236_25,6.0
13240_170,3.5
13242_134,5.5
13256_21,4.0
13268_45,4.0
13374_4,5.0
13375_48,3.0
13377_3,4.5
13378_80,4.5
13381_49,5.0
13384_110,5.5
13386_248,4.0
13387_55,3.0
13388_57,2.5
13389_8,8.0
13392_13,2.5
13393_46,4.5
13397_88,7.5
13399_33,3.5
13403_5,5.5
13405_61,3.5
13406_161,3.0
13408_23,3.5
13409_9,2.5
13411_21,4.0
13412_5,4.0
13416_8,5.0
13421_17,2.5
13422_66,3.0
13423_94,3.0
13424_51,3.5
13427_66,3.5
13429_3,4.0
13430_50,3.5
13431_74,3.0
13432_9,3.0
13434_172,4.0
13435_31,3.5
13436_54,4.5
13438_115,3.0
13439_6,5.5
13441_30,4.5
13447_42,8.0
13449_25,2.5
13450_49,6.0
13451_2,8.0
13452_113,2.5
13453_2,14.0
13455_10,3.5
13457_33,3.5
13459_30,4.5
13460_4,4.0
13463_1,5.0
13464_8,3.0
13465_5,3.5
13468_5,3.0
13470_43,3.0
13472_35,3.5
13473_55,4.0
13474_40,4.5
13475_10,5.0
13476_16,3.0
13477_65,7.0
13479_8,3.5
13481_24,3.0
13482_14,4.5
13484_69,4.5
13485_20,4.5
13486_9,3.0
13487_24,4.0
13488_3,4.5
13490_1,5.5
13491_40,4.5
13492_44,5.5
13493_5,4.0
13494_6,4.0
13495_48,5.5
13496_19,7.0
13497_34,3.5
13498_1,3.5
13499_30,5.5
13500_9,10.5
13501_10,5.5
13502_2,6.5
13503_19,7.5
13504_147,5.5
13506_10,14.5
13507_51,17.5
13509_5,3.0
13510_7,2.0
13511_29,3.5
